track,note,velocity,time,anomaly
1,71,22,60,0
1,70,73,0,0
1,70,22,60,0
1,68,71,0,0
1,68,22,60,0
1,62,22,0,0
1,63,73,0,0
1,66,62,60,0
1,66,22,60,0
1,68,66,0,0
1,68,22,60,0
1,66,60,0,0
1,66,22,60,0
1,63,22,0,0
1,59,69,0,0
1,66,59,60,0
1,66,22,60,0
1,68,63,0,0
1,68,22,60,0
1,66,56,0,0
1,66,22,60,0
1,59,22,0,0
1,58,72,0,0
1,66,66,60,0
1,66,22,60,0
1,58,22,0,0
1,61,70,0,0
1,66,63,60,0
1,66,22,60,0
1,61,22,0,0
1,64,73,0,0
1,66,62,60,0
1,66,22,60,0
1,64,22,0,0
1,63,72,0,0
1,66,61,60,0
1,66,22,60,0
1,63,22,0,0
1,61,71,0,0
1,66,61,60,0
1,66,22,60,0
1,65,64,0,0
1,65,22,60,0
1,66,59,0,0
1,66,22,60,0
1,68,64,0,0
1,68,22,60,0
1,66,58,0,0
1,66,22,60,0
1,65,63,0,0
1,65,22,60,0
1,66,58,0,0
1,66,22,60,0
1,61,22,0,0
1,59,74,0,0
1,71,74,0,0
1,71,22,120,0
1,59,22,0,0
1,58,58,0,0
1,58,22,60,0
1,59,61,0,0
1,59,22,60,0
1,61,64,0,0
1,61,22,60,0
1,59,60,0,0
1,59,22,60,0
1,58,63,0,0
1,58,22,60,0
1,59,59,0,0
1,59,22,60,0
1,63,66,0,0
1,66,59,60,0
1,66,22,60,0
1,54,53,0,0
1,54,22,60,0
1,66,60,0,0
1,66,22,60,0
1,63,22,0,0
1,63,66,0,0
1,66,59,60,0
1,66,22,60,0
1,54,53,0,0
1,54,22,60,0
1,66,59,0,0
1,66,22,60,0
1,63,22,0,0
1,61,66,0,0
1,66,58,60,0
1,66,22,60,0
1,54,52,0,0
1,54,22,60,0
1,66,58,0,0
1,66,22,60,0
1,61,22,0,0
1,59,66,0,0
1,66,59,60,0
1,66,22,60,0
1,54,55,0,0
1,54,22,60,0
1,66,59,0,0
1,66,22,60,0
1,59,22,0,0
1,58,70,0,0
1,66,59,60,0
1,66,22,60,0
1,54,55,0,0
1,54,22,60,0
1,66,59,0,0
1,66,22,60,0
1,58,22,0,0
1,59,69,0,0
1,66,59,60,0
1,66,22,60,0
1,54,52,0,0
1,54,22,60,0
1,66,59,0,0
1,66,22,60,0
1,59,22,0,0
1,64,73,0,0
1,66,60,60,0
1,66,22,60,0
1,54,56,0,0
1,54,22,60,0
1,66,60,0,0
1,66,22,60,0
1,64,22,0,0
1,63,69,0,0
1,66,58,60,0
1,66,22,60,0
1,54,53,0,0
1,54,22,60,0
1,66,58,0,0
1,66,22,60,0
1,63,22,0,0
1,63,71,0,0
1,66,59,60,0
1,66,22,60,0
1,54,55,0,0
1,54,22,60,0
1,66,60,0,0
1,66,22,60,0
1,63,22,0,0
1,61,75,0,0
1,66,61,60,0
1,66,22,60,0
1,54,58,0,0
1,54,22,60,0
1,66,63,0,0
1,66,22,60,0
1,61,22,0,0
1,59,77,0,0
1,66,64,60,0
1,66,22,60,0
1,54,60,0,0
1,54,22,60,0
1,66,67,0,0
1,66,22,60,0
1,59,22,0,0
1,61,79,0,0
1,66,69,60,0
1,66,22,60,0
1,54,64,0,0
1,54,22,60,0
1,66,72,0,0
1,66,22,60,0
1,61,22,0,0
1,63,88,0,0
1,66,74,60,0
1,66,22,60,0
1,63,22,0,0
1,54,80,0,0
1,66,71,60,0
1,66,22,60,0
1,54,22,0,0
1,55,79,0,0
1,66,69,60,0
1,66,22,60,0
1,55,22,0,0
1,56,79,0,0
1,66,69,60,0
1,66,22,60,0
1,56,22,0,0
1,57,78,0,0
1,66,69,60,0
1,66,22,60,0
1,57,22,0,0
1,58,77,0,0
1,66,69,60,0
1,66,22,60,0
1,58,22,0,0
1,59,75,0,0
1,66,67,60,0
1,66,22,60,0
1,59,22,0,0
1,61,75,0,0
1,66,64,60,0
1,66,22,60,0
1,61,22,0,0
1,63,75,0,0
1,66,61,60,0
1,66,22,60,0
1,68,68,0,0
1,68,22,60,0
1,66,60,0,0
1,66,22,60,0
1,63,22,0,0
1,63,77,0,0
1,66,62,60,0
1,66,22,60,0
1,68,70,0,0
1,68,22,60,0
1,66,61,0,0
1,66,22,60,0
1,63,22,0,0
1,61,82,0,0
1,66,68,60,0
1,66,22,60,0
1,68,75,0,0
1,68,22,60,0
1,66,69,0,0
1,66,22,60,0
1,61,22,0,0
1,63,85,0,0
1,71,72,60,0
1,71,22,60,0
1,73,81,0,0
1,73,22,60,0
1,71,74,0,0
1,71,22,60,0
1,63,22,0,0
1,66,91,0,0
1,71,74,60,0
1,71,22,60,0
1,73,80,0,0
1,73,22,60,0
1,71,73,0,0
1,71,22,60,0
1,66,22,0,0
1,64,84,0,0
1,71,70,60,0
1,71,22,60,0
1,73,74,0,0
1,73,22,60,0
1,71,68,0,0
1,71,22,60,0
1,64,22,0,0
1,63,83,0,0
1,71,71,60,0
1,71,22,60,0
1,73,75,0,0
1,73,22,60,0
1,71,70,0,0
1,71,22,60,0
1,63,22,0,0
1,62,82,0,0
1,71,71,60,0
1,71,22,60,0
1,70,73,0,0
1,70,22,60,0
1,68,71,0,0
1,68,22,60,0
1,62,22,0,0
1,63,73,0,0
1,66,62,60,0
1,66,22,60,0
1,68,66,0,0
1,68,22,60,0
1,66,60,0,0
1,66,22,60,0
1,63,22,0,0
1,59,69,0,0
1,66,59,60,0
1,66,22,60,0
1,68,63,0,0
1,68,22,60,0
1,66,56,0,0
1,66,22,60,0
1,59,22,0,0
1,58,72,0,0
1,66,66,60,0
1,66,22,60,0
1,58,22,0,0
1,61,70,0,0
1,66,63,60,0
1,66,22,60,0
1,61,22,0,0
1,64,73,0,0
1,66,62,60,0
1,66,22,60,0
1,64,22,0,0
1,63,72,0,0
1,66,61,60,0
1,66,22,60,0
1,63,22,0,0
1,61,71,0,0
1,66,61,60,0
1,66,22,60,0
1,65,64,0,0
1,65,22,60,0
1,66,59,0,0
1,66,22,60,0
1,68,64,0,0
1,68,22,60,0
1,66,58,0,0
1,66,22,60,0
1,65,63,0,0
1,65,22,60,0
1,66,58,0,0
1,66,22,60,0
1,61,22,0,0
1,71,74,0,0
1,59,74,0,0
1,59,22,120,0
1,71,22,0,0
