track,note,velocity,time,anomaly
1,85,27,120,0
1,84,71,0,0
1,84,27,120,0
1,85,72,0,0
1,85,27,120,0
1,87,73,0,0
1,87,27,120,0
1,84,71,0,0
1,84,27,120,0
1,80,74,0,0
1,80,27,120,0
1,87,66,120,0
1,90,74,0,0
1,90,27,60,0
1,87,27,0,0
1,87,66,180,0
1,90,73,0,0
1,90,27,480,0
1,87,27,0,0
1,89,72,0,0
1,85,65,0,0
1,85,27,240,0
1,89,27,0,0
1,80,67,0,0
1,80,27,240,0
1,85,72,0,0
1,85,27,120,0
1,80,67,0,0
1,80,27,120,0
1,85,68,0,0
1,85,27,120,0
1,80,69,0,0
1,80,27,120,0
1,89,75,0,0
1,89,27,120,0
1,85,71,0,0
1,85,27,120,0
1,89,71,0,0
1,89,27,120,0
1,85,72,0,0
1,85,27,120,0
1,92,82,0,0
1,92,27,480,0
1,90,74,0,0
1,90,27,120,0
1,89,71,0,0
1,89,27,120,0
1,87,71,0,0
1,87,27,120,0
1,85,71,0,0
1,85,27,120,0
1,87,67,0,0
1,87,27,120,0
1,89,68,0,0
1,89,27,120,0
1,90,69,0,0
1,90,27,120,0
1,87,67,0,0
1,87,27,120,0
1,85,70,0,0
1,85,27,120,0
1,84,70,0,0
1,84,27,120,0
1,82,70,0,0
1,82,27,120,0
1,80,70,0,0
1,80,27,120,0
1,85,73,0,0
1,85,27,480,0
1,80,69,240,0
1,80,27,240,0
1,90,73,0,0
1,90,27,120,0
1,90,67,120,0
1,90,27,120,0
1,90,72,120,0
1,90,27,120,0
1,94,74,120,0
1,94,27,120,0
1,90,71,0,0
1,90,27,120,0
1,89,78,0,0
1,89,27,480,0
1,92,77,240,0
1,92,27,240,0
1,84,85,0,0
1,84,27,120,0
1,84,73,120,0
1,84,27,120,0
1,84,76,120,0
1,84,27,120,0
1,87,82,120,0
1,87,27,120,0
1,84,77,0,0
1,84,27,120,0
1,85,83,0,0
1,85,27,480,0
1,80,77,240,0
1,80,27,240,0
1,87,89,0,0
1,87,27,120,0
1,87,82,120,0
1,87,27,120,0
1,87,89,120,0
1,87,27,120,0
1,75,81,120,0
1,75,27,120,0
1,78,75,0,0
1,78,27,120,0
1,77,81,0,0
1,77,27,120,0
1,80,73,0,0
1,80,27,120,0
1,78,81,0,0
1,78,27,120,0
1,77,73,0,0
1,77,27,120,0
1,75,81,0,0
1,75,27,120,0
1,73,73,0,0
1,73,27,120,0
1,72,76,0,0
1,72,27,120,0
1,73,72,0,0
1,73,27,120,0
1,70,72,0,0
1,70,27,120,0
1,78,78,0,0
1,78,27,120,0
1,82,85,0,0
1,82,27,120,0
1,80,72,0,0
1,80,27,120,0
1,78,81,0,0
1,78,27,120,0
1,77,73,0,0
1,77,27,120,0
1,75,77,0,0
1,75,27,120,0
1,73,76,0,0
1,73,27,120,0
1,72,85,0,0
1,72,27,480,0
1,80,75,240,0
1,80,27,240,0
1,85,81,0,0
1,85,27,120,0
1,80,75,0,0
1,80,27,120,0
1,85,76,0,0
1,85,27,120,0
1,80,77,0,0
1,80,27,120,0
1,89,84,0,0
1,89,27,120,0
1,85,79,0,0
1,85,27,120,0
1,89,79,0,0
1,89,27,120,0
1,85,81,0,0
1,85,27,120,0
1,92,90,0,0
1,92,27,480,0
1,90,83,0,0
1,90,27,120,0
1,89,79,0,0
1,89,27,120,0
1,87,79,0,0
1,87,27,120,0
1,85,79,0,0
1,85,27,120,0
1,84,79,0,0
1,84,27,120,0
1,85,81,0,0
1,85,27,120,0
1,87,82,0,0
1,87,27,120,0
1,84,79,0,0
1,84,27,120,0
1,80,83,0,0
1,80,27,120,0
1,87,73,120,0
1,90,83,0,0
1,90,27,60,0
1,87,27,0,0
1,87,73,180,0
1,90,82,0,0
1,90,27,480,0
1,87,27,0,0
1,89,81,0,0
1,85,72,0,0
1,85,27,240,0
1,89,27,0,0
1,80,75,0,0
1,80,27,240,0
1,85,81,0,0
1,85,27,120,0
1,80,75,0,0
1,80,27,120,0
1,85,76,0,0
1,85,27,120,0
1,80,77,0,0
1,80,27,120,0
1,89,84,0,0
1,89,27,120,0
1,85,79,0,0
1,85,27,120,0
