track,note,velocity,time,anomaly
1,76,47,0,0
1,76,0,160,0
1,75,40,0,0
1,75,0,160,0
1,73,40,0,0
1,73,0,160,0
1,75,46,0,0
1,75,0,480,0
1,73,45,0,0
1,73,0,160,0
1,76,42,0,0
1,76,0,160,0
1,75,39,0,0
1,75,0,160,0
1,73,43,0,0
1,73,0,160,0
1,80,47,0,0
1,80,0,160,0
1,78,41,0,0
1,78,0,160,0
1,76,46,0,0
1,76,0,160,0
1,75,42,0,0
1,75,0,160,0
1,73,37,0,0
1,73,0,160,0
1,71,42,0,0
1,71,0,240,0
1,70,35,0,0
1,70,0,720,0
1,66,37,720,0
1,66,0,480,0
1,74,45,0,0
1,74,0,480,0
1,66,40,0,0
1,66,0,480,0
1,64,32,0,0
1,64,0,240,0
1,73,41,0,0
1,73,0,240,0
1,64,32,0,0
1,64,0,480,0
1,62,32,0,0
1,62,0,480,0
1,61,35,0,0
1,61,0,240,0
1,67,42,0,0
1,67,0,240,0
1,64,38,0,0
1,64,0,240,0
1,61,39,0,0
1,61,0,240,0
1,59,35,0,0
1,59,0,240,0
1,59,39,0,0
1,59,0,240,0
1,58,31,0,0
1,58,0,720,0
1,71,56,480,0
1,71,0,60,0
1,73,43,0,0
1,73,0,60,0
1,71,48,0,0
1,71,0,60,0
1,70,43,0,0
1,70,0,60,0
1,71,56,0,0
1,71,0,720,0
1,76,47,0,0
1,76,0,160,0
1,73,38,0,0
1,73,0,160,0
1,70,37,0,0
1,70,0,160,0
1,71,42,0,0
1,71,0,240,0
1,75,35,0,0
1,75,0,240,0
1,66,42,0,0
1,66,0,480,0
1,64,38,0,0
1,64,0,60,0
1,66,33,0,0
1,66,0,60,0
1,64,38,0,0
1,64,0,60,0
1,66,33,0,0
1,66,0,60,0
1,64,38,0,0
1,64,0,80,0
1,66,35,0,0
1,66,0,80,0
1,64,35,0,0
1,64,0,80,0
1,63,42,0,0
1,63,0,240,0
1,66,35,0,0
1,66,0,240,0
1,71,42,0,0
1,71,0,160,0
1,70,33,0,0
1,70,0,160,0
1,68,33,0,0
1,68,0,160,0
1,66,39,0,0
1,66,0,160,0
1,64,32,0,0
1,64,0,160,0
1,63,32,0,0
1,63,0,160,0
1,61,42,0,0
1,61,0,720,0
1,63,35,0,0
1,63,0,120,0
1,64,30,0,0
1,64,0,120,0
1,63,39,0,0
1,63,0,480,0
1,71,56,0,0
1,71,0,60,0
1,73,43,0,0
1,73,0,60,0
1,71,48,0,0
1,71,0,60,0
1,70,46,0,0
1,70,0,60,0
1,71,55,0,0
1,71,0,720,0
1,76,47,0,0
1,76,0,160,0
1,73,38,0,0
1,73,0,160,0
1,70,37,0,0
1,70,0,160,0
1,71,42,0,0
1,71,0,240,0
1,75,35,0,0
1,75,0,240,0
1,66,42,0,0
1,66,0,480,0
1,68,42,0,0
1,68,0,160,0
1,70,38,0,0
1,70,0,160,0
1,71,38,0,0
1,71,0,150,0
1,71,46,10,0
1,71,0,160,0
1,70,40,0,0
1,70,0,160,0
1,68,40,0,0
1,68,0,160,0
1,66,43,0,0
1,66,0,480,0
1,68,42,0,0
1,68,0,160,0
1,70,39,0,0
1,70,0,160,0
1,71,39,0,0
1,71,0,150,0
1,71,45,10,0
1,71,0,160,0
1,70,38,0,0
1,70,0,160,0
1,68,35,0,0
1,68,0,160,0
1,66,49,0,0
1,66,0,160,0
1,71,41,0,0
1,71,0,160,0
1,75,45,0,0
1,75,0,160,0
1,66,49,0,0
1,66,0,160,0
1,73,41,0,0
1,73,0,160,0
1,76,47,0,0
1,76,0,160,0
1,75,49,0,0
1,75,0,160,0
1,76,38,0,0
1,76,0,160,0
1,78,38,0,0
1,78,0,160,0
1,71,42,0,0
1,71,0,480,0
1,70,38,0,0
1,70,0,60,0
1,71,33,0,0
1,71,0,60,0
1,70,38,0,0
1,70,0,60,0
1,71,33,0,0
1,71,0,60,0
1,70,38,0,0
1,70,0,80,0
1,71,35,0,0
1,71,0,80,0
